title,content
56 the submission of such standardized procedures to the appropriate facility,"body for review and approval. 
1500 ARTICLE XV – REGISTERED NURSE QUALITY LIAISONS AND PATIENT 
CARE ADVISORY COMMITTEE 
RN Quality Liaison Program 
1501 The RN Quality Liaison Program was established in 1998. The RN Quality 
Liaison Program has created thirty-six (36) Registered Nurse and 
Nurse Practitioner Quality Liaison (QL) bargaining unit positions in 
Northern California. The Quality Liaison Program shall be expanded to 
thirty-eight (38) members with the addition of a Nurse Practitioner QL for 
the Central Valley service area.  The Quality Liaison Program shall be 
expanded to forty (40) members with the addition of two Patient Care 
Coordinator Case Manager QLs for Northern California.   
RN Quality Liaison Goal 
1502 To increase staff RN/NP participation in the quality assurance and/or 
performance improvement process in KP; to improve quality patient care 
and outcomes. 
RN Quality Liaison Role 
1503 The role of the RNQL is to participate in existing KP quality 
processes/structures and committees, as well as serve as liaison 
between these committees and GRASP, PPC, NPRC and Home Health 
Regional Practice committees. 
1504 For full details of the RNQL Program, please see Appendix F. 
Patient Care Advisory Committee 
1505 The Patient Care Advisory Committee will meet to discuss the overall 
nursing plan for the region, including patient care strategies, plans and 
priorities for the year. 
1506 The committee will discuss issues of concerns and serve as a forum for input 
into the nursing organization’s strategies, plans and performance.   The 
committee will be guided in principle by a patient centered focus supported 
by enhanced engagement and “voice” of the bedside RN/NP to address 
assignment despite objection trends and effective application of RN 
judgment."
57 1507 The regional advisory committee will include nine (9) direct care RN/NP’s,"and nine (9) members of the regional nursing administration that will meet 
during the first quarter of each year. 
1508 A summary of the meeting will be provided to leadership and will be available 
to the nursing staff. 
1600 ARTICLE XVI  – CLINICAL CLASSIFICATIONS"
"A – Definition of Clinical Experts (Staff RN III, Staff RN IV, HH III)","1601 Staff Nurse III and IV, HH III programs have been developed to offer 
recognition and career advancement opportunities for those Nurses who 
have excelled in clinical practice, leadership and professionalism. The Staff 
Nurse III and IV, HH III roles are designed to enable the clinically expert 
Staff Nurse to find continuing recognition and rewards in the provision of 
direct care in his/her area of clinical specialty. Application forms will 
contain a minimum of ten (10) examples of Nursing Clinical Competence 
provided by the Employer. Such examples shall be available prior to the 
November 2011 Application deadline. 
1602 The Clinical Expert (Staff RN III & IV or HH III) is a skilled practitioner 
who demonstrates leadership by: 
Identifying, communicating, and fulfilling patient needs; 
Coordinating and utilizing facility and community resources to meet 
patient needs; 
Promoting a multi-disciplinary approach to patient care; 
Assuming a teaching-coaching role with other nurses and health 
team members; and 
Maintaining a flexible approach to resource constraints. 
1603 Through an intuitive use of knowledge, fine discretionary judgment, 
experience and leadership, the Clinical Expert is able to provide the best 
possible patient care in a safe environment."
B – Facility Selection Committee,"1604 Composition: (Committee shall be co-chaired by Nurse Executive/DONP 
or designee and a Staff Nurse III/IV or HH III.) 
1605 One Nurse Executive, DONP, or designee."
58 1606 Two (2) RN managers appointed by the Nurse Executive/DONP,"or designee. 
1607 Minimum of one (1) Staff Nurse III. 
1608 One (1) Staff Nurse who is actively involved in a professional 
committee. 
1609 Two (2) Staff RNs IV, or HH II, III. 
1610 Alternate: A substitute in the same category to be used as needed. 
Either the applicant or the committee may request an alternate if 
there is a direct line relationship between the applicant and a 
committee member or a vacancy on the committee. A large 
number of applicants may necessitate use of additional alternates. 
1611 A content expert may be called if the committee has limited 
knowledge of the applicant's specialty area. This person is not a 
voting member. 
1612 Any staff nurse serving on the committee will be replaced by an 
alternate for review of her/his application for Staff Nurse III or IV 
or HH III classification. 
Term and Vacancies 
1613 Committee members may serve a maximum of two (2) years in any single 
category.  Rotation will be staggered to provide continuity to the panel. 
1614 Selection Committee vacancies are to be publicized by Nursing 
Administration and the PPC. 
1615 Nominations to the committee to fill vacancies will be made by Staff Nurse 
III and IV and Home Health Nurse III peers. 
1616 The committee will choose replacement members from the nominees 
by consensus. Membership decisions will be reviewed by the Nurse 
Executive/DONP or designee who is charged with ensuring broad-based 
representation over time. 
1617 The names of the Facility Selection Committee members will be posted on 
the Association's bulletin board in each facility."
C – Criteria for Candidacy,"Minimum Qualifications 
Staff Nurse III/Home Health Nurse III shall include: 
1618 Current license to practice as a Registered Nurse in California.  
1619 Five (5) years of clinical experience as a Registered Nurse. 
1620 Work in the area of clinical specialty with the Employer for the last 
two (2) years. 
1621 Work in the area of clinical specialty with the Employer an 
average of twenty-four (24) hours per week over the last year. 
1622 Current performance evaluation at the midpoint or above on 
average.  
1623 Fifteen (15) CEUs in her/his area of clinical specialty in the past year. 
Staff Nurse IV shall include: 
1624 Current license to practice as a Registered Nurse in California.  
1625 Current designation as a Staff Nurse III. 
1626 Four (4) years of clinical experience as a Staff Nurse III, or; 
1627 Three (3) years’ experience as a Staff RN III and with BSN or Health 
Related Degree or; 
1628 Three (3) years’ experience as a Staff RN III and with national 
certification in a clinical specialty and; 
1629 Each year as a Staff Nurse III works in an “RN expanded role” or 
as an active preceptor for a minimum of one hundred twenty 
(120) hours or actively mentored two new graduate RNs for six (6) 
months each or one (1) new graduate RN for twelve (12) months. 
In the event there is no opportunity to act as a preceptor or mentor, 
completion of a special project to be agreed upon with the Nurse 
Manager. 
1630 Current performance evaluation at the midpoint or above on 
average.  
1631 Fifteen (15) CEUs in her/his area of clinical specialty in the past year."
60 Hours Worked,"1632 A Registered Nurse hired into a twenty-four (24) hour position or more, is 
exempt from any further calculation to determine paid or unpaid time away 
from work. 
1633 For any Registered Nurse hired into a position of less than twenty-four (24) 
hours the following calculations apply: 
Paid Time 
Number of Weeks =  Paid Hours Per Week 
1634 Paid time is calculated by determining total paid hours for the year 
minus the number of vacation hours taken in week blocks. This paid time 
is then divided by number of weeks, which is calculated by taking the fifty-
two (52) weeks in a year minus weeks of vacation blocks1 minus California 
Nurses Association option week if taken, minus approved leave of absence 
up to three (3) months’ time. Paid time divided by number of applicable 
weeks equals paid hours per week. This number must equal twenty-four 
(24) hours or more in order for a Nurse to meet the hours worked 
qualifications. 
1635 For a Nurse on Disability (UCD) or Workers Compensation integration 
of the number of weeks will be subtracted from the number of total weeks. 
The number of sick leave hours paid during this time will be subtracted 
from the number of hours paid. If the Nurse goes on non-paid status 
(no sick leave) the leave of absence cannot exceed three (3) months."
D – Application Process,"1636 The applicant must: 
1637 Meet minimum qualifications as identified in paragraphs 1618-1631.  
1638 Complete application (portfolio). 
1639 A completed application will contain the following:  
Signature of Mentor2
Staff Nurse III or IV or HH III application form. 
1 The amount of approved unpaid vacation time allowed for Short-Hour Nurses will be equivalent to that 
accrued by Regular Nurses according to the Short-Hour equation of eighty seven (87) hours of work equal 
to one month of seniority .
2 For application and renewal periods beginning November 2011, Mentor signature(s) are encouraged but not 
required. For application and renewal periods beginning March 2012, Mentor signature(s) will be required."
61 Performance evaluation within the last twelve (12) months of,"application. 
Letters of recommendation dated within the last twelve (12) months of 
application (not applicable for Staff Nurse IV). 
Documentation that continuing education (either CEU or CME) was 
completed within the last twelve (12) months. 
Exemplars that are reflective of events that occurred in the last twenty-
four (24) months (not applicable for Staff Nurse IV). 
Professional contributions within the last twelve (12) months. 
The Local Facility Selection Committee (FSC) will maintain an up to 
date listing of Mentors prior to the November 2011 Application 
deadline. 
1640 Application packets for Staff Nurse III or IV or HH III are available on line 
and from the nursing office/staffing office and contain written guidelines for 
the completion of the application. The applicant shall contact a member of 
the Facility Selection Committee to verify completeness of the application 
prior to submission. Upon request, members of the Facility Selection 
Committee/applicant mentor will review and offer suggestions to improve 
the application portfolio of staff prior to submission. 
1641 Submit application to Facility Selection Committee. 
1642 Applications are accepted every four (4) months, no later than March 1, July 
1 and November 1. 
1643 Attend a Facility Selection Committee meeting for interview and 
presentation of exemplar(s) (not applicable for Staff Nurse IV). 
1644 Applicants will be notified of the date of the Facility Selection Committee 
meeting within fourteen (14) days of the applicable application deadline. 
1645 All Selection Committee meetings will be scheduled within thirty (30) days 
of the applicable deadlines. 
1646 Applicants will be notified of the committee's decision within ten business 
days of the interview. 
1647 Applicants who are denied the applicable clinical ladder classification will 
receive, in writing, the rationale for the decision, highlighting the areas of 
deficiency. 
1648 Applicants that meet the minimum qualifications shall be interviewed."
E – Maintenance of Staff Nurse III and IV or HH III Designation,"1649 Renewal shall be every three (3) years. 
1650 The Staff Nurse III or IV or HH III must continue to work an average of twenty-
four (24) hours per week. 
1651 The applicant for renewal must submit a portfolio including: 
1652 Performance evaluation based on the applicable performance 
standards for each year at the midpoint or above on average. 
1653 A Nurse must complete forty-five (45) Continuing Education Credits 
(CEUs) or Continuing Medical Education Units (CMEs) ongoing over 
the period of three (3) years. At least fifty percent (50%) of the 
CEUs/CMEs must result from nursing specialty/clinical programs. 
A written explanation or description of the course content's 
applicability may be requested with the portfolio by the committee for 
clarification. Only courses that are approved by the BRN or for 
Continuing Medical Education Units (CME) shall be applicable. 
1654 Participation in: 
1655 Staff RN III or HH III:  Two (2) of the following within the past thirty-
six (36) months. 
1656 Staff RN IV: Four (4) of the following within the past thirty-six (36) 
months.  
1657 Active participation in quality activities which must be of an ongoing 
nature with participation occurring over at least six (6) months per 
year for two (2) of the past three (3) years, e.g., PPC, Safety 
Committee, organizationally sanctioned peer group or committee, 
RNQL. 
1658 Teaching Activities: 
Formal Inservice/Presentation 
Informal 
Inservice/Presentation 
Community Teaching 
Health care related research 
Development and/or presentation of patient education programs."
63 1659 Leadership Activities:,"Hold a Charge Nurse, Chief Nurse Rep, Nurse Rep or other CNA 
leadership position 
Committee or Task Force, e.g. GRASP Special 
Projects/Presentation Standardized Care Plan/Clinical Pathway 
Health Related Community Organization/ Service 
SN III: Mentor one new graduate RN for up to eighteen (18) months 
in the last thirty-six (36) months, in accordance with contractual 
provisions in Side Letter A. 
SN IV: Mentor two new graduate RNs for up to eighteen (18) months 
within the last thirty-six (36) months, in accordance with contractual 
provisions in Side Letter A. 
1660 Staff RN IV must work in an RN Expanded role or participate as a preceptor 
in the area of clinical specialty each year. (If there is no opportunity to act in 
these roles within a clinical department, completion of an additional special 
project may be substituted as agreed upon with the Nurse Manager.) 
1661 The Facility Selection Committee will review and make the decision 
regarding the renewal or denial of the Staff Nurse III/IV or HH III 
classification."
F – Appeal Process,"1662 Any applicant denied the Clinical Expert designation may appeal the 
decision of the Facility Selection Committee (FSC) as follows: 
1663 A written appeal, clearly stating the basis for the appeal, must be submitted 
to the Facility Selection Committee that made the original decision no later 
than thirty (30) days after written notification of denial. The appeal shall 
not contain any application information that was not submitted with the 
original application as a justification for the appeal. 
1664 The Facility Selection Committee shall review the appeal and either accept 
the application or deny the appeal, providing a written explanation of the 
reasons for the written denial. If the appeal is denied, the Nurse may appeal 
that decision to the Regional Appeals Committee no later than thirty (30) 
days after denial of the appeal by the Facility Selection Committee. 
1665 The Regional Appeals Committee shall be composed of six (6) members and 
two (2) alternates. Three (3) members, plus one (1) alternate, shall be 
selected by the California Nurses Association from among Staff Nurse IIIs,"
64 Staff Nurse IVs or HH IIIs of different existing Facility Selection Committees,"(FSCs) who are currently serving on a FSC or who have had past experience 
as a Staff Nurse III, Staff Nurse IV or HH III on a FSC. Three (3) members 
and one (1) alternate shall be selected by the Employer from Nurse 
Manager Representatives from different existing FSCs who are currently 
serving on a FSC or who have previously served on a FSC. 
1666 The Regional Appeals Committee's review shall be limited to a 
consideration of the same appeal presented to the Facility Selection 
Committee. In addition, the Regional Appeals Committee may review the 
Nurse's original application materials and the Facility Selection 
Committee's decision, including its reasons for the denial. This decision 
shall be provided to the applicant within thirty (30) calendar days after the 
Regional Appeals Committee’s meeting. 
1667 The Regional Appeals Committee may overturn the decision of the Facility 
Selection Committee only when there is clear and convincing evidence of 
procedural error or bias that affected the decision to deny movement up the 
clinical ladder. 
1668 If the decision of the Facility Selection Committee is reversed by the 
Regional Appeals Committee, the increase in pay will be retroactive to 
the application deadline (March 1, July 1, November 1). 
1669 The decision of the Regional Appeals Committee is final and binding and shall 
not be subject to the provisions of Article XL of the Collective Bargaining 
Agreement."
G – Transfers,"1670 Nurses who transfer to a similar area of clinical specialty will retain their Staff 
Nurse III, Staff Nurse IV or HH III status. 
1671 The Staff Nurse III, Staff Nurse IV or HH Nurse III will apply for renewal 
at the expiration of the three (3) year classification. 
1672 Transfers to another area of clinical specialty require application for Staff 
Nurse III, Staff Nurse IV or HH Nurse III in the new area (see minimum 
qualifications). 
1700 ARTICLE XVII – NURSE PRACTITIONERS"
A – Definition,"1701 A Nurse Practitioner is an advanced practice Registered Nurse as defined 
under California law who can provide primary and/or specialty nursing and 
medical care to individuals, families and groups for which the Nurse"
65 Practitioner is educationally and clinically prepared. Nurse Practitioners,"can perform comprehensive health assessments, diagnosis, health 
promotion, direct management of acute and chronic disease, and furnish 
pharmacologic and non-pharmacologic treatments, therapies and 
diagnostic measures, as allowable by law and KP policy. They practice 
with physician supervision according to standardized procedures, 
consulting, and referring patients to physicians and others in the health 
delivery system as necessary."
B – Specifications,"1702 Individuals applying for posted Nurse Practitioner positions must meet the 
Nurse Practitioner requirements set forth by Title 16, Chapter 14, Article 8 
of the California Administrative Code and all related sections in addition 
to any other requirements established by the Employer."
C – Training,"1703 If the Employer requires new clinical skills, procedures or technologies, or 
develops new policies requiring additional skills that affect the NP’s current 
position, the Employer will provide the NP with training, education or 
proctoring prior to requiring implementation of such policy, procedure, skill, 
or technology in the NP’s clinical practice."
D – Peer Review,"1704 Each NP PPC shall ensure that a Nurse Practitioner peer review 
educational process is established for all NPs. The peer review educational 
process is defined as those activities that focus on promoting enhanced 
quality and clinical performance within the NP peer group. The NP PPC 
shall monitor ongoing compliance with the educational process outlined in 
the Standardized Procedure established for each department or facility. 
Consistent with Employer policies and applicable laws, the Standardized 
Procedure for NP peer education activities will include confidentiality 
protections for any Personal Health Information (PHI) that may be used 
during these activities. 
1705 Each NP may participate in scheduled peer review educational activities 
pursuant to this section for up to eight (8) hours per year. Such activities 
may take place during existing department educational meetings, NP peer 
group meetings, or at other times as agreed to by the facility NP PPC and 
the DONP/Nurse Executive. Nothing in this article shall be construed to 
restrict current practices in existence as of August 31, 2006. Disputes 
regarding the application of the Nurse Practitioner peer review educational 
process shall be referred to the facility NP PPC and DONP/Nurse 
Executive for resolution."
E – DEA Number (Nurse Practitioners),"1706 The Employer shall reimburse a Nurse Practitioner for the cost of the 
Nurse Practitioner’s initial DEA number and all renewals required for his or 
her position with the Employer, excepting only those Nurse Practitioners 
who work in areas where they never furnish scheduled drugs. The 
Employer shall also reimburse any Nurse Practitioner who has previously 
paid for a DEA number as a condition of employment with the Employer. 
1800 ARTICLE XVIII – NURSE PRACTITIONER CLASSIFICATIONS"
A – Definition of Clinical Experts,"1801 The development of a NP Clinical Ladder recognizes the Nurse Practitioner 
III as a health care clinical expert who demonstrates increasing levels of 
excellence through clinical practice, teaching ability and leadership. 
1802 The purpose of the NP III role is to encourage Nurse Practitioners to utilize 
and model clinical expertise, leadership abilities and health care practices 
by participation in research, education, publication and/or community 
involvement."
B – Criteria for Candidacy,"1803 Minimum Qualifications for NP III shall include: 
Current RN licensure and Nurse Practitioner certification to 
practice in California. 
Four (4) years’ experience as a Nurse Practitioner. 
Work in the area of clinical specialty for the Employer for the last 
two (2) years. 
Ongoing work in the area of clinical specialty a minimum of twenty-
four (24) hours/week over the last year. A NP who is in a RNQL role 
(20 hour/week position) shall meet this qualification. 
Current performance evaluation at the midpoint or above for clinical 
competence, interpersonal relationships and professional 
characteristics. 
Thirty (30) CEUs/CMEs which are applicable to clinical specialty 
area over the past two (2) years or that meet national certification 
requirements. Masters/Post-Masters/Doctoral Degree courses shall 
apply if applicable to clinical specialty and are recognized by the 
BRN."
67 Hours Worked,"1804 A Nurse Practitioner hired into a twenty-four (24) hour position or more, is 
exempt from any further calculation to determine paid or unpaid time away 
from work. 
1805 For any Nurse Practitioner hired into a position of less than twenty-four (24) 
hours, the following NP calculations apply: 
Paid Time 
Number of Weeks =  Paid Hours Per Week 
1806 Paid time is calculated by determining total paid hours for the year minus 
the number of vacation hours taken in week blocks. This paid time is then 
divided by number of weeks, which is calculated by taking the fifty-two (52) 
weeks in a year minus weeks of vacation blocks minus California Nurses 
Association option week if taken, minus approved leave of absence up to 
three (3) months’ time. Paid time divided by number of applicable weeks 
equals paid hours per week. This number must equal twenty-four (24) hours 
or more in order for a Nurse Practitioner to meet the hours worked 
qualifications. 
1807 For a Nurse Practitioner on Disability (UCD) integration of the number of 
weeks will be subtracted from the number of total weeks. The number of sick 
leave hours paid during this time will be subtracted from the number of hours 
paid. If the Nurse Practitioner goes on non-paid status (no sick leave) the 
leave of absence cannot exceed three (3) months."
C – Application Process,"1808 The applicant must: 
1809 Meet minimum qualifications as identified in"
B – Criteria for,"Candidacy 
1810 Complete application portfolio: 
NP III application form. 
Signature of Mentor3
Performance evaluation within the last twelve (12) months, 
which indicate performance standards at the midpoint or 
3 For application and renewal periods beginning November 2011, Mentor signature(s) are encouraged but 
not required. For application and renewal periods beginning March 2012, Mentor signature(s) will be 
required."
"68 above overall for clinical competence, interpersonal","relationships and professional characteristics. 
Two letter of recommendation within the last twelve (12) 
months.   
Documentation that required continuing education (CEU or 
CME) was completed within the last two (2) years. 
Application essay of three to five pages describing 
professional contributions and experiences that demonstrate 
clinical excellence, and elaborates practice goals and 
aspirations. 
Evidence of at least three (3) professional contributions 
within the indicated timeframes. See list of acceptable 
activities below. Additional activities may be considered with 
unanimous consent of the local NP III Selection Committee. 
The Local Facility Selection Committee (FSC) will maintain an 
up to date listing of Mentors prior to the November 2011 
application deadline. 
1811 Submit application to Facility Selection Committee. 
Professional Contributions (initial application) 
1812 On-going teaching activity, such as adjunct professor at an accredited RN 
or NP program or assistant/clinical faculty position or lecturer. This must be 
an ongoing activity during at least one semester or two quarters per year. 
1813 National certification as a Nurse Practitioner by a national certifying body 
recognized by Kaiser Permanente and the Board of Registered Nursing. This 
only applies to those Nurse Practitioners who obtained national certification 
after their initial date of hire. 
1814 Active participation in quality activities which must be of an ongoing nature 
with participation occurring over at least six (6) months per year.  Examples 
include: 
Develop and implement “peer review” educational processes. 
Involvement in quality committees/forums including but not limited to 
PPC, local safety committee, patient safety/error reporting, patient 
improvement projects. 
Hold a RN Quality Liaison position."
69 1815 Active participation in at least one educational activity within the past 12,"months. 
Examples include: 
Develop and present in-service education for staff, students or the 
community. 
Develop and present a patient education program. 
Publish a continuing education article for NPs/RNs or health 
education article for the general public. 
1816 Leadership position as a committee chair or NP representative on local or 
regional committees including but not limited to P&T, Interdisciplinary 
Practice Committee, Collaborative Practice Committee, PPC, NPRC, 
spanning at least six (6) months per year.  Hold a Chief Nurse Rep, Nurse 
Rep or other CNA leadership position. 
1817 Active participation over at least six (6) months per year (alternate time frame 
may be considered with unanimous consent of the local NP III facility 
selection committee) in health related community activities, that utilize 
the RN/NP level expertise in activities such as, but not limited to the 
categories below: 
Legislative/governmental participation. 
Volunteer work in clinic, schools, or work with cultural community or 
general community organizations. 
1818 Parameters regarding participation in health-related community activities 
will be developed by a regional committee comprised of equal numbers of 
NPs selected by CNA and nursing leaders selected by the Employer. 
1819 Develop or be an active member of an implementation team for at least one 
written standard of NP care, including but not limited to: core competencies, 
new protocols or procedures within the past two (2) years. 
1820 Make contributions to staff development by being a NP mentor or make 
contribution to development of the NP profession by being a NP preceptor. 
1821 Practice as a NP in a clinical specialty field such as but not limited to: 
orthopedic surgery, plastic surgery, neurology, or sub-specialty in primary 
care, including but not limited to reproductive endocrinology, geriatrics, HIV 
care."
70 1822 Demonstrate participation in health-related research within the last three (3),"years. 
Examples include: 
Participation in research in the areas of nursing practice, Nurse 
Practitioner practice, nursing education, nursing or health care 
management, or any areas concerning health promotion or health 
care practices, health policy or cultural competence in provision of 
health care.  Active participation may include but is not limited to 
principal investigator, data collector or member of a research team. 
Publication of research in peer reviewed journals with NP’s name 
listed as author or co-author or publication in nursing, Nurse 
Practitioner, health care, health care management /practices/policy 
textbook as a contributor, consultant, chapter writer or editor. 
1823 Possess a health-related master’s degree.  (A MSN does not apply to any 
Nurse Practitioner if it was required as a condition of employment at the 
time of hire.) 
Possess a health-related post-masters certification/doctoral degree/post-
doctoral fellowship."
D – Facility Selection Committees,"1824 Composition: Committee to be co-chaired by DONP and NP III or a NP II if 
there are no NP IIIs in the facility. 
Two (2) NP IIIs (one shall be a co-chair): If there are no NP IIIs in the facility, 
two (2) NP II peers shall serve on the selection committee. 
One (1) NP II who is actively involved in a professional NP committee, e.g. 
NPRC, local performance improvement committee. 
A nurse manager and a department chief from a department which employs 
Nurse Practitioners. 
Alternate: A substitute in the same category may be used as needed. Either 
the applicant or the committee may request an alternate if there is a 
direct line relationship between the applicant and a committee member or 
a vacancy on the committee. A large number of applicants may 
necessitate use of additional alternates. 
A content expert may be called if the committee has limited knowledge 
of the applicant’s specialty area. This person is not a voting member."
71 Any NP II serving on the committee will be replaced by an alternate for,"review of her/his application for NP III classification. 
1825 The Facility Selection Committee shall meet within thirty (30) days of each 
application deadline to determine the eligibility of each candidate for NP III 
status. Applicants shall be notified within ten (10) business days after this 
meeting of the Facility Selection Committee’s decision. 
Term & Vacancies 
1826 Facility Selection Committee members may serve a maximum of three (3) 
years. Rotation will be staggered to provide continuity to the panel. 
1827 Facility Selection Committee vacancies are to be publicized and shall be 
nominated by their peers. 
1828 The Facility Selection Committee will choose replacement members from 
the nominees by consensus. Membership decisions will be reviewed by the 
co-chairs who are charged with ensuring broad-based representation over 
time."
E – Maintenance of NP III Designation,"1829 Each appointment as NP III shall be made for three (3) years. 
Reappointment requires continued evidence that the NP Clinical Expert, 
also known as NP III, functions in the clinical setting as an exemplary 
clinical Practitioner, teacher and leader among peers. To maintain the NP 
III designation, a NP III will be expected to submit for review by the Facility 
Selection Committee a renewal packet that will demonstrate the following: 
Current RN licensure and Nurse Practitioner certification to 
practice in California. 
Continued work in the area of clinical specialty for the Employer 
since the last appointment as NP III. 
Work in the area of clinical specialty an average of twenty-four (24) 
hours/week over the last year. A NP who is in a RNQL role (20 
hour/week position) shall meet this qualification. 
Hours Worked 
1830 A Nurse Practitioner hired into a twenty-four (24) hour position or more, is 
exempt from any further calculation to determine paid or unpaid time away 
from work."
72 1831 For any Nurse Practitioner hired into a position of less than twenty-four (24),"hours the following NP calculations apply: 
Paid Time 
Number of Weeks =  Paid Hours Per Week 
1832 Paid time is calculated by determining total paid hours for the year minus 
the number of vacation hours taken in week blocks. This paid time is then 
divided by number of weeks, which is calculated by taking the fifty-two (52) 
weeks in a year minus weeks of vacation blocks minus California Nurses 
Association option week if taken, minus approved leave of absence up to 
three (3) months’ time. Paid time divided by number of applicable weeks 
equals paid hours per week. This number must equal twenty-four (24) hours 
or more in order for a Nurse Practitioner to meet the hours worked 
qualifications. 
1833 For a Nurse Practitioner on Disability (UCD) integration of the number of 
weeks will be subtracted from the number of total weeks. The number of sick 
leave hours paid during this time will be subtracted from the number of hours 
paid. If the Nurse Practitioner goes on non-paid status (no sick leave) the 
leave of absence cannot exceed three (3) months. 
1834 Current performance evaluation which indicate performance standards 
at the midpoint or above overall for clinical competence, interpersonal 
relationships and professional characteristics. 
1835 Documentation of completion of at least forty-five (45) CEUs/CMEs 
applicable to clinical specialty area over the past three (3) years. 
1836 At least three (3) professional contributions within the last twelve (12) 
months, unless stated otherwise. See list of acceptable activities below. 
Additional activities may be considered with the unanimous consent of 
the local NP III selection committee. 
Professional Contributions 
1837 On-going teaching activity, such as adjunct professor at an accredited RN 
or NP program or assistant/clinical faculty position or lecturer. This must be 
an ongoing activity during at least one semester or two quarters per year for 
two (2) out of the past three (3) years. 
1838 Within the past three (3) years, obtain national certification as a Nurse 
Practitioner from a national certifying body recognized by Kaiser Permanente 
and the Board of Registered Nursing. 
1839 Active participation in quality activities which must be of an ongoing nature 
with participation occurring over at least six (6) months per year for two (2) 
of the past three (3) years. Examples include:"
73 Develop and implement “peer review” educational processes.,"Involvement in quality committees/forums included but not limited to 
PPC, local safety committee, patient safety/error reporting, patient 
improvement projects. 
Hold a Quality Liaison position. 
1840 Active participation in at least two different educational activities during the 
past three (3) years. Examples include: 
Develop and present in-service education for staff, students or the 
community. 
Develop and present a patient education program. 
Publish a continuing education article for NPs/RNs or health 
education article for the general public. 
1841 Leadership position as committee chair or NP representative on local or 
regional committees including but not limited to P&T, Interdisciplinary 
Practice Committee, Collaborative Practice Committee, PPC, NPRC 
spanning at least six (6) months per year for two (2) of the past three (3) 
years. Hold a Nurse Rep, Chief Nurse Rep, or other CNA leadership 
position. 
1842 Active participation over at least six (6) months per year for two (2) of the 
past three (3) years (alternate time frame may be considered with 
unanimous consent of the local NPIII facility selection committee) in health 
related community activities, that utilize RN/NP level expertise in activities 
such as, but not limited to, the categories below: 
Legislative/governmental participation. 
Volunteer work in clinic, schools, or work with cultural community or 
general community organizations. 
1843 Parameters regarding participation in health-related community activities 
will be developed by the regional committee (see"
"C, paragraph","1818). 
1844 Develop or be an active member of an implementation team for at least two 
written standards of NP care, including but not limited to: core 
competencies, new protocols or procedures within the last three (3) years. 
1845 Make contributions to staff development by being a NP mentor or make 
contribution to development of the NP profession by being a NP preceptor."
74 1846 Practice as a NP in a clinical specialty field such as but not limited to:,"orthopedic surgery, plastic surgery, neurology, or sub-specialty in primary 
care, including but not limited to, reproductive endocrinology, geriatrics, HIV 
care. 
1847 Demonstrate active participation in health care related research within the 
last three (3) years. Examples include: 
Participation in research in the areas of nursing practice, Nurse 
Practitioner practice, nursing education, nursing or health care 
management, or any areas concerning health promotion or health 
care practices, health policy or cultural competence in provision of 
health care. Active participation may include but is not limited to 
principal investigator, data collector or member of a research team. 
Publication of research in peer reviewed journals with NP’s name 
listed as author or co-author or publication in nursing, Nurse 
Practitioner, health care, health care management/practices/policy 
textbook as a contributor, consultant, chapter writer or editor. 
1848 Completion of a health-related masters/post-masters certification/doctoral 
degree/post-doctoral fellowship within the past three (3) years."
F – Appeal Process,"1849 Any applicant denied the Clinical Expert designation may appeal the 
decision of the Facility Selection Committee (FSC) as follows: 
1850 A written appeal, clearly stating the basis for the appeal, must be submitted 
to the Facility Selection Committee that made the original decision no later 
than thirty (30) days after notification of denial. The appeal shall not contain 
any application information that was not submitted with the original 
application as a justification for the appeal. 
1851 The Facility Selection Committee shall review the appeal within sixty (60) 
calendar days of each application deadline and either accept the 
application or deny the appeal, providing a written explanation of the 
reasons for the denial. If the appeal is denied, the Nurse Practitioner may 
appeal that decision to the Regional Appeals Committee no later than thirty 
(30) days after denial of the appeal by the Facility Selection Committee. 
1852 The Regional Appeals Committee shall be composed of six (6) members and 
two (2) alternates. Three (3) members, plus one (1) alternate, shall be 
selected by the California Nurses Association from among NP IIs and NP 
IIIs of different Facility Selection Committees (FSCs). Three (3) members"
75 and one (1) alternate shall be selected by the Employer from management,"representatives from different existing FSCs. 
1853 The Regional Appeals Committee's review shall be limited to a 
consideration of the same appeal presented to the Facility Selection 
Committee. In addition, the Regional Appeals Committee may review the 
Nurse Practitioner's original application materials and the Facility Selection 
Committee's decision, including its reasons for the denial. 
1854 The Regional Appeals Committee may overturn the decision of the Facility 
Selection Committee only when there is clear and convincing evidence of 
procedural error or bias that affected the decision to deny movement up the 
clinical ladder. 
1855 If the decision of the Facility Selection Committee is reversed by the 
Regional Appeals Committee, the five percent (5%) increase in pay will be 
retroactive to the application deadline. 
1856 The decision of the Regional Appeals Committee is final and binding and 
shall not be subject to the provisions of Article XL of the Collective 
Bargaining Agreement."
